,WRank,LRank,Surface,WPts,LPts,A,B,C,D,E,ACourt,BCourt,CCourt,DCourt,ECourt,AOpponentRank,BOpponentRank,COpponentRank,DOpponentRank,EOpponentRank,APlayerRank,BPlayerRank,CPlayerRank,DPlayerRank,EPlayerRank
0,6,5.0,2,4355,4610.0,1,1,0,1,1,3,3,3,2,2,8.0,8.0,8.0,6.0,6.0,2.0,10.0,21.0,87.0,125.0
0,27,6.0,2,1534,4355.0,1,0,1,1,1,3,3,2,2,2,8.0,8.0,6.0,6.0,6.0,10.0,21.0,87.0,125.0,5.0
0,6,46.0,2,4535,1015.0,0,1,1,1,0,3,2,2,2,2,8.0,6.0,6.0,6.0,6.0,21.0,87.0,125.0,5.0,27.0
0,11,6.0,2,3085,4535.0,1,1,1,0,1,2,2,2,2,2,6.0,6.0,6.0,6.0,6.0,87.0,125.0,5.0,27.0,46.0
0,5,53.0,2,4615,980.0,1,1,0,1,0,2,2,2,2,2,6.0,6.0,6.0,6.0,6.0,125.0,5.0,27.0,46.0,11.0
0,5,46.0,2,4615,1040.0,1,0,1,0,1,2,2,2,2,2,6.0,6.0,6.0,6.0,5.0,5.0,27.0,46.0,11.0,53.0
0,5,28.0,2,4615,1385.0,0,1,0,1,1,2,2,2,2,2,6.0,6.0,6.0,5.0,5.0,27.0,46.0,11.0,53.0,46.0
0,9,5.0,2,3485,4615.0,1,0,1,1,1,2,2,2,2,2,6.0,6.0,5.0,5.0,5.0,46.0,11.0,53.0,46.0,28.0
0,9,48.0,2,3595,1019.0,0,1,1,1,0,2,2,2,2,2,6.0,5.0,5.0,5.0,5.0,11.0,53.0,46.0,28.0,9.0
0,9,41.0,2,3595,1090.0,1,1,1,0,1,2,2,2,2,2,5.0,5.0,5.0,5.0,9.0,53.0,46.0,28.0,9.0,48.0
0,25,9.0,2,1580,3595.0,1,1,0,1,1,2,2,2,2,2,5.0,5.0,5.0,9.0,9.0,46.0,28.0,9.0,48.0,41.0
0,8,83.0,2,3640,686.0,1,0,1,1,0,2,2,2,2,2,5.0,5.0,9.0,9.0,9.0,28.0,9.0,48.0,41.0,25.0
0,8,15.0,2,3640,1987.0,0,1,1,0,1,2,2,2,2,2,5.0,9.0,9.0,9.0,8.0,9.0,48.0,41.0,25.0,83.0
0,3,8.0,2,6445,3640.0,1,1,0,1,1,2,2,2,2,2,9.0,9.0,9.0,8.0,8.0,48.0,41.0,25.0,83.0,15.0
0,8,24.0,2,3730,1767.0,1,0,1,1,0,2,2,2,2,2,9.0,9.0,8.0,8.0,8.0,41.0,25.0,83.0,15.0,3.0
0,8,426.0,2,3730,88.0,0,1,1,0,1,2,2,2,2,2,9.0,8.0,8.0,8.0,8.0,25.0,83.0,15.0,3.0,24.0
0,8,13.0,2,3730,2415.0,1,1,0,1,1,2,2,2,2,2,8.0,8.0,8.0,8.0,8.0,83.0,15.0,3.0,24.0,426.0
0,8,30.0,2,3730,1410.0,1,0,1,1,1,2,2,2,2,2,8.0,8.0,8.0,8.0,8.0,15.0,3.0,24.0,426.0,13.0
0,8,11.0,2,3730,2910.0,0,1,1,1,1,2,2,2,2,2,8.0,8.0,8.0,8.0,8.0,3.0,24.0,426.0,13.0,30.0
0,6,22.0,2,4230,1767.0,1,1,1,1,1,2,2,2,2,2,8.0,8.0,8.0,8.0,8.0,24.0,426.0,13.0,30.0,11.0
0,11,6.0,2,3210,4230.0,1,1,1,1,1,2,2,2,2,2,8.0,8.0,8.0,8.0,6.0,426.0,13.0,30.0,11.0,22.0
0,6,8.0,2,4310,3895.0,1,1,1,1,0,2,2,2,2,2,8.0,8.0,8.0,6.0,6.0,13.0,30.0,11.0,22.0,11.0
0,6,9.0,2,4310,3390.0,1,1,1,0,1,2,2,2,2,2,8.0,8.0,6.0,6.0,6.0,30.0,11.0,22.0,11.0,8.0
0,3,6.0,2,6020,4310.0,1,1,0,1,1,2,2,2,2,2,8.0,6.0,6.0,6.0,6.0,11.0,22.0,11.0,8.0,9.0
0,1,6.0,2,8045,4310.0,1,0,1,1,0,2,2,2,2,2,6.0,6.0,6.0,6.0,6.0,22.0,11.0,8.0,9.0,3.0
0,118,40.0,2,475,1077.0,1,0,0,0,0,1,1,3,1,1,68.0,35.0,126.0,52.0,139.0,108.0,108.0,105.0,104.0,118.0
0,118,96.0,2,475,598.0,0,0,0,0,1,1,3,1,1,2,35.0,126.0,52.0,139.0,118.0,108.0,105.0,104.0,118.0,40.0
0,57,118.0,2,952,475.0,0,0,0,1,1,3,1,1,2,2,126.0,52.0,139.0,118.0,118.0,105.0,104.0,118.0,40.0,96.0
0,18,113.0,2,1815,498.0,0,0,1,1,0,1,1,2,2,2,52.0,139.0,118.0,118.0,118.0,104.0,118.0,40.0,96.0,57.0
