,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
1769,26,110,1570,486,2,2,26,110,2,26,110,2,26,110,2,26,110,2,26,110,2,26,110,1,0,0,1,0,0
1798,78,37,725,1152,2,2,37,78,2,37,78,2,37,78,2,37,78,2,37,78,2,37,78,0,1,0,0,0,1
1827,13,80,2200,725,1,1,13,80,1,13,80,1,13,80,1,13,80,1,13,80,1,13,80,1,0,1,1,0,1
1856,135,80,433,725,1,1,80,135,1,80,135,1,80,135,1,80,135,1,80,135,1,80,135,0,1,1,0,1,0
1885,72,81,780,725,3,3,72,81,3,72,81,3,72,81,3,72,81,3,72,81,3,72,81,1,0,1,1,0,1
1914,44,81,1045,725,3,3,81,44,3,81,44,3,81,44,3,81,44,3,81,44,3,81,44,0,0,1,0,1,0
1943,98,71,586,770,3,3,98,71,3,98,71,3,98,71,3,98,71,3,98,71,3,98,71,1,0,1,1,0,0
1972,71,75,770,743,3,3,71,75,3,71,75,3,71,75,3,71,75,3,71,75,3,71,75,0,0,0,0,1,1
2001,72,1,770,8920,3,3,1,72,3,1,72,3,1,72,3,1,72,3,1,72,3,1,72,0,0,0,1,1,1
2030,97,70,597,815,3,3,97,70,3,97,70,3,97,70,3,97,70,3,97,70,3,97,70,0,0,0,0,0,1
2059,75,66,755,850,1,1,75,66,1,75,66,1,75,66,1,75,66,1,75,66,1,75,66,0,0,1,0,1,1
2088,65,11,830,2280,1,1,11,65,1,11,65,1,11,65,1,11,65,1,11,65,1,11,65,1,1,0,1,1,0
2117,35,65,1290,830,1,1,65,35,1,65,35,1,65,35,1,65,35,1,65,35,1,65,35,0,0,1,0,0,1
2146,63,114,850,491,1,1,114,63,1,114,63,1,114,63,1,114,63,1,114,63,1,114,63,0,1,1,1,0,0
2175,57,94,922,645,1,1,94,57,1,94,57,1,94,57,1,94,57,1,94,57,1,94,57,1,1,1,1,1,1
2204,159,57,352,922,1,1,57,159,1,57,159,1,57,159,1,57,159,1,57,159,1,57,159,1,1,0,1,1,0
2233,57,104,922,577,1,1,57,104,1,57,104,1,57,104,1,57,104,1,57,104,1,57,104,1,0,1,1,0,0
2262,84,57,680,922,1,1,57,84,1,57,84,1,57,84,1,57,84,1,57,84,1,57,84,0,1,0,0,1,0
2291,58,1,877,8770,1,1,1,58,1,1,58,1,1,58,1,1,58,1,1,58,1,1,58,1,0,0,0,1,1
2320,58,92,877,643,1,1,58,92,1,58,92,1,58,92,1,58,92,1,58,92,1,58,92,0,0,1,0,1,0
2349,88,48,641,1043,2,2,88,48,2,88,48,2,88,48,2,88,48,2,88,48,2,88,48,0,1,0,0,1,1
2378,43,21,1098,1850,1,1,21,43,1,21,43,1,21,43,1,21,43,1,21,43,1,21,43,1,1,0,1,1,0
2407,43,11,1098,2660,1,1,43,11,1,43,11,1,43,11,1,43,11,1,43,11,1,43,11,1,0,1,1,0,0
2436,417,43,91,1098,1,1,43,417,1,43,417,1,43,417,1,43,417,1,43,417,1,43,417,0,0,0,0,1,1
2465,6,51,4060,968,1,1,6,51,1,6,51,1,6,51,1,6,51,1,6,51,1,6,51,1,1,1,1,1,1
2494,51,70,968,755,1,1,51,70,1,51,70,1,51,70,1,51,70,1,51,70,1,51,70,1,1,1,1,1,1
2523,51,24,968,1810,1,1,51,24,1,51,24,1,51,24,1,51,24,1,51,24,1,51,24,1,1,0,1,1,0
2552,51,20,968,1985,1,1,51,20,1,51,20,1,51,20,1,51,20,1,51,20,1,51,20,1,0,0,0,1,1
2581,51,60,968,850,1,1,51,60,1,51,60,1,51,60,1,51,60,1,51,60,1,51,60,0,0,0,0,1,1
2610,114,69,492,790,2,2,114,69,2,114,69,2,114,69,2,114,69,2,114,69,2,114,69,0,0,0,0,0,0
2639,77,109,720,486,2,2,77,109,2,77,109,2,77,109,2,77,109,2,77,109,2,77,109,0,0,0,0,0,0
2668,128,85,445,670,2,2,85,128,2,85,128,2,85,128,2,85,128,2,85,128,2,85,128,0,0,1,0,1,1
2697,113,86,500,683,1,1,86,113,1,86,113,1,86,113,1,86,113,1,86,113,1,86,113,0,1,0,0,0,1
2726,104,10,545,3045,3,3,10,104,3,10,104,3,10,104,3,10,104,3,10,104,3,10,104,1,0,1,1,0,1
2755,104,42,545,1085,3,3,104,42,3,104,42,3,104,42,3,104,42,3,104,42,3,104,42,0,1,0,0,1,0
2784,63,52,876,985,3,3,52,63,3,52,63,3,52,63,3,52,63,3,52,63,3,52,63,1,0,1,1,0,1
2813,63,49,876,997,3,3,63,49,3,63,49,3,63,49,3,63,49,3,63,49,3,63,49,0,1,0,0,0,1
2842,26,66,1535,876,3,3,26,66,3,26,66,3,26,66,3,26,66,3,26,66,3,26,66,1,0,0,1,0,1
2871,66,19,876,1715,3,3,66,19,3,66,19,3,66,19,3,66,19,3,66,19,3,66,19,0,1,0,0,1,0
2900,6,62,4450,882,1,1,6,62,1,6,62,1,6,62,1,6,62,1,6,62,1,6,62,1,0,1,1,0,0
2929,62,42,882,1186,1,1,62,42,1,62,42,1,62,42,1,62,42,1,62,42,1,62,42,0,0,0,0,0,1
2958,32,60,1415,901,1,1,32,60,1,32,60,1,32,60,1,32,60,1,32,60,1,32,60,0,0,0,0,0,0
2987,57,39,891,1251,1,1,39,57,1,39,57,1,39,57,1,39,57,1,39,57,1,39,57,0,0,1,0,1,1
3016,100,58,580,907,2,2,100,58,2,100,58,2,100,58,2,100,58,2,100,58,2,100,58,0,0,1,0,1,1
3045,47,56,1030,882,2,2,47,56,2,47,56,2,47,56,2,47,56,2,47,56,2,47,56,1,1,0,1,1,0
3074,22,56,1845,882,2,2,56,22,2,56,22,2,56,22,2,56,22,2,56,22,2,56,22,0,1,1,1,0,0
3103,56,116,882,501,2,2,56,116,2,56,116,2,56,116,2,56,116,2,56,116,2,56,116,0,0,1,0,0,1
3132,117,55,498,923,2,2,117,55,2,117,55,2,117,55,2,117,55,2,117,55,2,117,55,0,0,1,0,1,1
3161,103,107,540,493,2,2,107,103,2,107,103,2,107,103,2,107,103,2,107,103,2,107,103,1,1,0,1,1,0
3190,103,15,540,1962,2,2,103,15,2,103,15,2,103,15,2,103,15,2,103,15,2,103,15,1,0,0,0,1,0
3219,57,103,912,540,2,2,103,57,2,103,57,2,103,57,2,103,57,2,103,57,2,103,57,0,0,0,0,0,0
3248,23,104,1630,540,2,2,23,104,2,23,104,2,23,104,2,23,104,2,23,104,2,23,104,0,1,1,0,0,0
3277,104,61,540,872,2,2,61,104,2,61,104,2,61,104,2,61,104,2,61,104,2,61,104,0,0,0,0,0,0
3306,101,94,544,599,2,2,101,94,2,101,94,2,101,94,2,101,94,2,101,94,2,101,94,0,0,1,0,0,0
3335,96,43,599,1025,2,2,43,96,2,43,96,2,43,96,2,43,96,2,43,96,2,43,96,0,0,1,0,0,1
3364,96,103,599,554,3,3,103,96,3,103,96,3,103,96,3,103,96,3,103,96,3,103,96,0,1,0,0,1,1
3393,96,24,585,1580,3,3,24,96,3,24,96,3,24,96,3,24,96,3,24,96,3,24,96,1,0,0,0,1,1
3422,96,82,585,706,3,3,96,82,3,96,82,3,96,82,3,96,82,3,96,82,3,96,82,0,0,0,0,1,0
3451,102,3,594,5615,1,1,3,102,1,3,102,1,3,102,1,3,102,1,3,102,1,3,102,0,0,0,0,1,1
3480,93,103,627,574,2,2,93,103,2,93,103,2,93,103,2,93,103,2,93,103,2,93,103,0,0,0,0,0,0
3509,106,44,548,1166,2,2,44,106,2,44,106,2,44,106,2,44,106,2,44,106,2,44,106,0,0,1,0,1,0
3538,24,108,1715,528,2,2,24,108,2,24,108,2,24,108,2,24,108,2,24,108,2,24,108,0,1,1,0,1,0
3567,49,117,1030,498,2,2,49,117,2,49,117,2,49,117,2,49,117,2,49,117,2,49,117,1,0,1,1,0,0
3596,55,117,923,498,2,2,117,55,2,117,55,2,117,55,2,117,55,2,117,55,2,117,55,0,1,1,0,0,1
3625,20,86,1750,680,1,1,86,20,1,86,20,1,86,20,1,86,20,1,86,20,1,86,20,0,0,0,0,1,1
3654,17,29,1980,1488,1,1,29,17,1,29,17,1,29,17,1,29,17,1,29,17,1,29,17,0,0,0,0,1,1
3683,17,29,2060,1430,1,1,29,17,1,29,17,1,29,17,1,29,17,1,29,17,1,29,17,0,0,1,0,0,1
3712,18,36,2140,1280,1,1,36,18,1,36,18,1,36,18,1,36,18,1,36,18,1,36,18,0,1,0,0,1,0
3741,13,63,2275,844,2,2,63,13,2,63,13,2,63,13,2,63,13,2,63,13,2,63,13,1,0,1,1,1,0
3770,13,374,2275,109,2,2,13,374,2,13,374,2,13,374,2,13,374,2,13,374,2,13,374,0,1,0,1,0,0
3799,15,26,2275,1567,2,2,26,15,2,26,15,2,26,15,2,26,15,2,26,15,2,26,15,1,0,1,1,0,1
3828,73,15,734,2275,2,2,15,73,2,15,73,2,15,73,2,15,73,2,15,73,2,15,73,1,0,0,0,1,1
3857,47,17,1030,2230,2,2,47,17,2,47,17,2,47,17,2,47,17,2,47,17,2,47,17,1,1,1,1,1,0
3886,129,17,448,2230,2,2,17,129,2,17,129,2,17,129,2,17,129,2,17,129,2,17,129,1,0,0,0,1,1
3915,17,67,2320,755,2,2,17,67,2,17,67,2,17,67,2,17,67,2,17,67,2,17,67,1,0,1,1,0,1
3944,17,53,2320,952,2,2,17,53,2,17,53,2,17,53,2,17,53,2,17,53,2,17,53,0,1,1,0,0,0
3973,2,20,9605,2050,2,2,2,20,2,2,20,2,2,20,2,2,20,2,2,20,2,2,20,1,1,1,1,1,1
4002,25,20,1715,2050,2,2,20,25,2,20,25,2,20,25,2,20,25,2,20,25,2,20,25,1,1,1,1,1,1
4031,10,20,2725,2050,2,2,20,10,2,20,10,2,20,10,2,20,10,2,20,10,2,20,10,1,1,0,1,1,0
4060,60,47,869,994,2,2,47,60,2,47,60,2,47,60,2,47,60,2,47,60,2,47,60,1,0,1,1,0,1
4089,164,60,349,869,2,2,60,164,2,60,164,2,60,164,2,60,164,2,60,164,2,60,164,0,0,0,0,1,0
4118,34,62,1270,864,2,2,34,62,2,34,62,2,34,62,2,34,62,2,34,62,2,34,62,1,0,1,1,0,0
4147,62,80,864,708,2,2,62,80,2,62,80,2,62,80,2,62,80,2,62,80,2,62,80,0,0,1,0,1,0
4176,72,57,785,909,2,2,72,57,2,72,57,2,72,57,2,72,57,2,72,57,2,72,57,0,0,1,0,1,1
4205,23,60,1630,899,2,2,23,60,2,23,60,2,23,60,2,23,60,2,23,60,2,23,60,1,0,1,1,1,0
4234,36,60,1152,899,2,2,60,36,2,60,36,2,60,36,2,60,36,2,60,36,2,60,36,0,1,1,1,0,1
4263,60,58,899,911,2,2,60,58,2,60,58,2,60,58,2,60,58,2,60,58,2,60,58,0,1,1,0,1,0
4292,53,54,969,927,1,1,53,54,1,53,54,1,53,54,1,53,54,1,53,54,1,53,54,1,1,0,1,1,1
4321,54,98,927,578,1,1,54,98,1,54,98,1,54,98,1,54,98,1,54,98,1,54,98,1,1,1,1,0,0
4350,40,54,1060,927,1,1,54,40,1,54,40,1,54,40,1,54,40,1,54,40,1,54,40,0,0,1,1,1,1
4379,84,17,687,1940,1,1,84,17,1,84,17,1,84,17,1,84,17,1,84,17,1,84,17,1,1,1,1,1,1
4408,84,107,687,529,1,1,84,107,1,84,107,1,84,107,1,84,107,1,84,107,1,84,107,1,1,1,1,1,1
4437,84,66,687,815,1,1,84,66,1,84,66,1,84,66,1,84,66,1,84,66,1,84,66,1,1,0,1,1,0
4466,84,46,687,1000,1,1,84,46,1,84,46,1,84,46,1,84,46,1,84,46,1,84,46,1,0,1,0,1,0
4495,97,84,598,687,1,1,84,97,1,84,97,1,84,97,1,84,97,1,84,97,1,84,97,0,0,1,0,1,0
4524,148,75,382,757,1,1,148,75,1,148,75,1,148,75,1,148,75,1,148,75,1,148,75,1,0,1,1,0,1
4553,75,36,757,1197,1,1,75,36,1,75,36,1,75,36,1,75,36,1,75,36,1,75,36,0,1,0,0,0,1
4582,81,53,721,950,3,3,53,81,3,53,81,3,53,81,3,53,81,3,53,81,3,53,81,1,0,0,1,0,0
4611,81,15,721,2110,3,3,81,15,3,81,15,3,81,15,3,81,15,3,81,15,3,81,15,0,0,0,0,0,0
4640,80,38,717,1155,3,3,38,80,3,38,80,3,38,80,3,38,80,3,38,80,3,38,80,0,0,1,0,0,0
4669,50,81,1000,714,3,3,50,81,3,50,81,3,50,81,3,50,81,3,50,81,3,50,81,0,0,0,0,1,1
4698,8,96,3355,639,1,1,8,96,1,8,96,1,8,96,1,8,96,1,8,96,1,8,96,1,1,1,1,1,0
4727,160,96,342,639,1,1,96,160,1,96,160,1,96,160,1,96,160,1,96,160,1,96,160,1,0,0,1,0,1
4756,31,84,1405,676,3,3,31,84,3,31,84,3,31,84,3,31,84,3,31,84,3,31,84,0,1,1,0,0,0
4785,84,52,677,974,3,3,52,84,3,52,84,3,52,84,3,52,84,3,52,84,3,52,84,0,0,1,0,0,0
4814,110,93,490,665,1,1,110,93,1,110,93,1,110,93,1,110,93,1,110,93,1,110,93,0,0,0,0,1,0
4843,107,11,545,2335,2,2,11,107,2,11,107,2,11,107,2,11,107,2,11,107,2,11,107,1,0,1,0,1,0
4872,75,107,702,545,2,2,107,75,2,107,75,2,107,75,2,107,75,2,107,75,2,107,75,1,1,1,0,1,1
4901,110,21,538,2095,2,2,21,110,2,21,110,2,21,110,2,21,110,2,21,110,2,21,110,1,1,0,1,0,0
4930,12,110,2455,538,2,2,110,12,2,110,12,2,110,12,2,110,12,2,110,12,2,110,12,0,1,1,1,0,0
4959,110,101,538,576,2,2,110,101,2,110,101,2,110,101,2,110,101,2,110,101,2,110,101,0,0,1,0,1,1
4988,154,16,370,2030,3,3,16,154,3,16,154,3,16,154,3,16,154,3,16,154,3,16,154,1,0,0,1,0,1
5017,76,154,735,370,3,3,154,76,3,154,76,3,154,76,3,154,76,3,154,76,3,154,76,0,1,0,0,0,1
5046,129,1,430,8770,1,1,1,129,1,1,129,1,1,129,1,1,129,1,1,129,1,1,129,0,1,1,1,1,1
5075,204,17,286,1950,3,3,17,204,3,17,204,3,17,204,3,17,204,3,17,204,3,17,204,0,1,0,0,1,0
5104,176,110,324,515,3,3,110,176,3,110,176,3,110,176,3,110,176,3,110,176,3,110,176,1,0,0,1,0,0
5133,89,51,640,985,2,2,89,51,2,89,51,2,89,51,2,89,51,2,89,51,2,89,51,1,0,0,0,0,0
5162,65,89,825,640,2,2,89,65,2,89,65,2,89,65,2,89,65,2,89,65,2,89,65,0,1,1,0,0,1
5191,84,53,686,969,1,1,53,84,1,53,84,1,53,84,1,53,84,1,53,84,1,53,84,0,1,0,0,1,1
5220,75,88,746,668,1,1,88,75,1,88,75,1,88,75,1,88,75,1,88,75,1,88,75,1,0,0,1,0,0
5249,75,67,746,805,1,1,75,67,1,75,67,1,75,67,1,75,67,1,75,67,1,75,67,0,0,0,0,1,0
5278,153,78,361,746,1,1,153,78,1,153,78,1,153,78,1,153,78,1,153,78,1,153,78,0,1,0,0,0,0
5307,79,59,729,920,3,3,59,79,3,59,79,3,59,79,3,59,79,3,59,79,3,59,79,0,0,0,0,0,0
5336,76,74,722,729,3,3,76,74,3,76,74,3,76,74,3,76,74,3,76,74,3,76,74,0,1,0,0,0,1
5365,51,76,1020,753,1,1,51,76,1,51,76,1,51,76,1,51,76,1,51,76,1,51,76,0,1,1,0,1,0
5394,77,8,742,3195,1,1,8,77,1,8,77,1,8,77,1,8,77,1,8,77,1,8,77,1,0,0,0,0,1
5423,77,103,742,592,1,1,77,103,1,77,103,1,77,103,1,77,103,1,77,103,1,77,103,0,0,1,0,1,1
5452,96,73,634,750,1,1,96,73,1,96,73,1,96,73,1,96,73,1,96,73,1,96,73,0,0,0,0,1,1
5481,77,44,722,1106,1,1,44,77,1,44,77,1,44,77,1,44,77,1,44,77,1,44,77,1,1,0,1,1,0
5510,103,77,581,722,1,1,77,103,1,77,103,1,77,103,1,77,103,1,77,103,1,77,103,1,0,0,1,0,1
5539,105,77,534,722,1,1,77,105,1,77,105,1,77,105,1,77,105,1,77,105,1,77,105,0,1,0,0,1,0
5568,1,77,8770,710,1,1,1,77,1,1,77,1,1,77,1,1,77,1,1,77,1,1,77,1,1,1,1,0,1
5597,420,77,91,710,1,1,77,420,1,77,420,1,77,420,1,77,420,1,77,420,1,77,420,0,0,0,0,1,0
5626,78,71,706,755,1,1,71,78,1,71,78,1,71,78,1,71,78,1,71,78,1,71,78,1,0,0,1,0,0
5655,73,78,738,706,1,1,78,73,1,78,73,1,78,73,1,78,73,1,78,73,1,78,73,0,1,0,0,0,0
5684,65,79,825,683,1,1,65,79,1,65,79,1,65,79,1,65,79,1,65,79,1,65,79,0,1,0,0,0,1
5713,72,60,728,860,1,1,60,72,1,60,72,1,60,72,1,60,72,1,60,72,1,60,72,0,1,1,0,1,1
5742,12,59,2425,904,2,2,12,59,2,12,59,2,12,59,2,12,59,2,12,59,2,12,59,0,1,1,0,0,0
5771,12,34,2380,1235,2,2,34,12,2,34,12,2,34,12,2,34,12,2,34,12,2,34,12,1,1,1,1,1,1
5800,12,23,2380,1630,2,2,12,23,2,12,23,2,12,23,2,12,23,2,12,23,2,12,23,1,0,1,1,1,0
5829,12,45,2380,1038,2,2,12,45,2,12,45,2,12,45,2,12,45,2,12,45,2,12,45,1,0,1,1,0,1
5858,385,12,104,2380,2,2,12,385,2,12,385,2,12,385,2,12,385,2,12,385,2,12,385,1,0,0,0,1,1
5887,7,13,4085,2290,2,2,7,13,2,7,13,2,7,13,2,7,13,2,7,13,2,7,13,1,0,1,1,1,1
5916,13,55,2290,930,2,2,13,55,2,13,55,2,13,55,2,13,55,2,13,55,2,13,55,1,1,0,1,1,0
5945,13,102,2290,554,2,2,13,102,2,13,102,2,13,102,2,13,102,2,13,102,2,13,102,1,0,1,1,0,1
5974,26,13,1570,2290,2,2,13,26,2,13,26,2,13,26,2,13,26,2,13,26,2,13,26,0,1,0,0,1,0
6003,13,38,2290,1175,2,2,38,13,2,38,13,2,38,13,2,38,13,2,38,13,2,38,13,1,0,1,1,0,0
6032,81,13,715,2200,1,1,81,13,1,81,13,1,81,13,1,81,13,1,81,13,1,81,13,1,1,0,1,1,0
6061,80,13,725,2200,1,1,13,80,1,13,80,1,13,80,1,13,80,1,13,80,1,13,80,1,0,1,1,0,1
6090,13,94,2200,603,1,1,13,94,1,13,94,1,13,94,1,13,94,1,13,94,1,13,94,0,1,0,0,0,0
6119,33,13,1280,2155,1,1,33,13,1,33,13,1,33,13,1,33,13,1,33,13,1,33,13,1,1,0,1,0,0
6148,145,13,395,2155,1,1,13,145,1,13,145,1,13,145,1,13,145,1,13,145,1,13,145,1,0,1,0,0,1
6177,12,98,2145,586,3,3,98,12,3,98,12,3,98,12,3,98,12,3,98,12,3,98,12,0,1,1,0,1,0
6206,72,11,806,2415,1,1,72,11,1,72,11,1,72,11,1,72,11,1,72,11,1,72,11,1,1,0,1,1,0
6235,11,69,2415,835,1,1,11,69,1,11,69,1,11,69,1,11,69,1,11,69,1,11,69,1,0,1,1,0,0
6264,11,146,2415,383,1,1,11,146,1,11,146,1,11,146,1,11,146,1,11,146,1,11,146,0,1,1,0,1,0
6293,11,5,2280,4770,1,1,5,11,1,5,11,1,5,11,1,5,11,1,5,11,1,5,11,1,1,1,1,1,0
6322,65,11,830,2280,1,1,11,65,1,11,65,1,11,65,1,11,65,1,11,65,1,11,65,1,1,0,1,1,0
6351,11,48,2280,1020,1,1,11,48,1,11,48,1,11,48,1,11,48,1,11,48,1,11,48,1,0,0,1,1,1
6380,55,11,926,2280,1,1,11,55,1,11,55,1,11,55,1,11,55,1,11,55,1,11,55,0,0,0,0,0,1
6409,35,11,1296,2280,1,1,35,11,1,35,11,1,35,11,1,35,11,1,35,11,1,35,11,0,1,0,0,1,1
6438,11,64,2440,823,1,1,64,11,1,64,11,1,64,11,1,64,11,1,64,11,1,64,11,1,1,0,1,1,1
6467,65,11,822,2440,1,1,11,65,1,11,65,1,11,65,1,11,65,1,11,65,1,11,65,1,1,0,1,0,1
6496,11,93,2440,650,1,1,11,93,1,11,93,1,11,93,1,11,93,1,11,93,1,11,93,0,1,1,1,0,1
6525,11,63,2305,822,1,1,63,11,1,63,11,1,63,11,1,63,11,1,63,11,1,63,11,1,1,1,1,1,1
6554,5,11,4950,2305,1,1,11,5,1,11,5,1,11,5,1,11,5,1,11,5,1,11,5,1,1,0,1,1,0
6583,11,27,2305,1585,1,1,11,27,1,11,27,1,11,27,1,11,27,1,11,27,1,11,27,1,0,1,1,0,0
6612,11,47,2305,1020,1,1,11,47,1,11,47,1,11,47,1,11,47,1,11,47,1,11,47,0,1,1,1,0,0
6641,5,19,4505,2045,2,2,5,19,2,5,19,2,5,19,2,5,19,2,5,19,2,5,19,1,1,1,1,1,1
6670,19,8,2045,3235,2,2,19,8,2,19,8,2,19,8,2,19,8,2,19,8,2,19,8,1,1,1,1,1,1
6699,39,19,1260,2045,2,2,19,39,2,19,39,2,19,39,2,19,39,2,19,39,2,19,39,1,1,0,1,1,0
6728,54,19,940,2045,2,2,19,54,2,19,54,2,19,54,2,19,54,2,19,54,2,19,54,1,1,0,1,0,1
6757,19,85,2045,658,2,2,19,85,2,19,85,2,19,85,2,19,85,2,19,85,2,19,85,0,1,1,1,0,0
6786,9,14,3080,2315,2,2,9,14,2,9,14,2,9,14,2,9,14,2,9,14,2,9,14,1,1,0,1,1,0
6815,14,57,2315,924,2,2,14,57,2,14,57,2,14,57,2,14,57,2,14,57,2,14,57,1,0,1,1,1,0
6844,14,66,2315,813,2,2,14,66,2,14,66,2,14,66,2,14,66,2,14,66,2,14,66,0,1,0,1,0,1
6873,43,11,1098,2660,1,1,43,11,1,43,11,1,43,11,1,43,11,1,43,11,1,43,11,1,0,1,1,0,0
6902,11,102,2660,543,1,1,11,102,1,11,102,1,11,102,1,11,102,1,11,102,1,11,102,0,0,0,0,0,0
6931,10,69,2705,755,1,1,69,10,1,69,10,1,69,10,1,69,10,1,69,10,1,69,10,0,0,1,1,0,0
6960,3,21,6445,1768,2,2,3,21,2,3,21,2,3,21,2,3,21,2,3,21,2,3,21,1,1,1,1,1,0
6989,26,21,1630,1768,2,2,21,26,2,21,26,2,21,26,2,21,26,2,21,26,2,21,26,1,0,0,1,0,1
7018,31,21,1345,1768,2,2,21,31,2,21,31,2,21,31,2,21,31,2,21,31,2,21,31,0,1,1,0,1,0
7047,22,45,1735,1022,2,2,45,22,2,45,22,2,45,22,2,45,22,2,45,22,2,45,22,1,0,1,1,0,1
7076,116,22,480,1735,2,2,22,116,2,22,116,2,22,116,2,22,116,2,22,116,2,22,116,0,0,1,0,1,0
7105,26,22,1570,1696,2,2,26,22,2,26,22,2,26,22,2,26,22,2,26,22,2,26,22,1,1,0,1,0,0
7134,77,22,720,1696,2,2,22,77,2,22,77,2,22,77,2,22,77,2,22,77,2,22,77,1,0,0,0,0,0
7163,21,60,1734,891,2,2,60,21,2,60,21,2,60,21,2,60,21,2,60,21,2,60,21,0,0,0,0,0,1
7192,52,22,975,1734,2,2,52,22,2,52,22,2,52,22,2,52,22,2,52,22,2,52,22,0,0,0,0,0,0
7221,28,22,1410,1730,2,2,28,22,2,28,22,2,28,22,2,28,22,2,28,22,2,28,22,0,0,1,0,0,1
7250,21,41,1720,1065,2,2,41,21,2,41,21,2,41,21,2,41,21,2,41,21,2,41,21,0,1,1,0,1,0
7279,37,22,1160,1740,1,1,37,22,1,37,22,1,37,22,1,37,22,1,37,22,1,37,22,0,1,1,1,1,1
7308,27,72,1510,780,3,3,27,72,3,27,72,3,27,72,3,27,72,3,27,72,3,27,72,1,1,1,1,1,1
7337,188,27,302,1510,3,3,27,188,3,27,188,3,27,188,3,27,188,3,27,188,3,27,188,1,1,1,1,1,0
7366,27,100,1510,578,3,3,27,100,3,27,100,3,27,100,3,27,100,3,27,100,3,27,100,1,0,0,1,1,0
7395,73,27,775,1510,3,3,27,73,3,27,73,3,27,73,3,27,73,3,27,73,3,27,73,1,0,1,0,0,1
7424,29,80,1514,723,3,3,80,29,3,80,29,3,80,29,3,80,29,3,80,29,3,80,29,0,1,1,0,0,0
7453,31,94,1453,612,3,3,94,31,3,94,31,3,94,31,3,94,31,3,94,31,3,94,31,1,1,0,1,1,1
7482,31,62,1453,906,3,3,31,62,3,31,62,3,31,62,3,31,62,3,31,62,3,31,62,1,0,1,1,1,0
7511,31,91,1453,622,3,3,31,91,3,31,91,3,31,91,3,31,91,3,31,91,3,31,91,0,1,1,1,0,1
7540,8,72,3355,806,1,1,8,72,1,8,72,1,8,72,1,8,72,1,8,72,1,8,72,1,1,1,1,1,1
7569,72,22,806,1665,1,1,72,22,1,72,22,1,72,22,1,72,22,1,72,22,1,72,22,1,1,1,1,1,1
7598,72,9,806,3020,1,1,72,9,1,72,9,1,72,9,1,72,9,1,72,9,1,72,9,1,1,1,1,1,1
7627,72,11,806,2415,1,1,72,11,1,72,11,1,72,11,1,72,11,1,72,11,1,72,11,1,1,0,1,1,0
7656,190,72,313,806,1,1,72,190,1,72,190,1,72,190,1,72,190,1,72,190,1,72,190,1,0,1,1,0,0
7685,94,72,662,806,1,1,72,94,1,72,94,1,72,94,1,72,94,1,72,94,1,72,94,0,0,0,0,0,1
7714,72,51,806,1020,1,1,51,72,1,51,72,1,51,72,1,51,72,1,51,72,1,51,72,0,1,0,0,0,0
7743,73,10,778,2930,1,1,10,73,1,10,73,1,10,73,1,10,73,1,10,73,1,10,73,1,0,1,1,0,1
7772,73,71,778,790,1,1,73,71,1,73,71,1,73,71,1,73,71,1,73,71,1,73,71,0,1,1,0,1,1
7801,61,59,856,891,1,1,61,59,1,61,59,1,61,59,1,61,59,1,61,59,1,61,59,1,0,0,1,1,1
7830,19,59,1840,891,1,1,59,19,1,59,19,1,59,19,1,59,19,1,59,19,1,59,19,0,1,0,1,1,1
7859,92,94,664,645,1,1,92,94,1,92,94,1,92,94,1,92,94,1,92,94,1,92,94,1,1,1,1,1,1
7888,92,55,664,951,1,1,92,55,1,92,55,1,92,55,1,92,55,1,92,55,1,92,55,1,1,1,1,1,1
7917,92,61,664,830,1,1,92,61,1,92,61,1,92,61,1,92,61,1,92,61,1,92,61,1,1,0,1,1,0
7946,32,92,1415,664,1,1,92,32,1,92,32,1,92,32,1,92,32,1,92,32,1,92,32,0,0,0,1,0,1
7975,89,92,669,664,1,1,92,89,1,92,89,1,92,89,1,92,89,1,92,89,1,92,89,0,0,1,0,1,0
8004,100,22,606,1765,1,1,22,100,1,22,100,1,22,100,1,22,100,1,22,100,1,22,100,1,0,0,1,0,1
8033,100,31,606,1415,1,1,100,31,1,100,31,1,100,31,1,100,31,1,100,31,1,100,31,0,0,0,0,0,0
8062,64,41,809,1100,2,2,41,64,2,41,64,2,41,64,2,41,64,2,41,64,2,41,64,0,0,0,0,1,0
8091,56,42,910,1075,2,2,56,42,2,56,42,2,56,42,2,56,42,2,56,42,2,56,42,1,0,1,1,0,1
8120,42,40,1075,1145,2,2,42,40,2,42,40,2,42,40,2,42,40,2,42,40,2,42,40,0,1,0,0,1,0
8149,46,5,1040,4615,2,2,5,46,2,5,46,2,5,46,2,5,46,2,5,46,2,5,46,1,0,1,1,0,1
8178,46,38,1040,1145,2,2,46,38,2,46,38,2,46,38,2,46,38,2,46,38,2,46,38,0,1,0,0,0,0
8207,46,6,1015,4535,2,2,6,46,2,6,46,2,6,46,2,6,46,2,6,46,2,6,46,1,0,0,0,1,1
