,P1Rank,P2Rank,P1Pts,P2Pts,Surface,AP1Surface,AP1Rank,AP1OppRank,BP1Surface,BP1Rank,BP1OppRank,CP1Surface,CP1Rank,CP1OppRank,AP2Surface,AP2Rank,AP2OppRank,BP2Surface,BP2Rank,BP2OppRank,CP2Surface,CP2Rank,CP2OppRank,AP1Win,BP1Win,CP1Win,AP2Win,BP2Win,CP2Win
44602,161,98,349,594,1,1,161,98,1,161,98,1,161,98,1,161,98,1,161,98,1,161,98,1,1,0,1,1,0
44631,161,86,349,683,1,1,161,86,1,161,86,1,161,86,1,161,86,1,161,86,1,161,86,1,0,0,1,0,0
44660,198,161,291,349,1,1,161,198,1,161,198,1,161,198,1,161,198,1,161,198,1,161,198,0,0,0,0,0,1
44689,83,50,686,975,2,2,83,50,2,83,50,2,83,50,2,83,50,2,83,50,2,83,50,0,1,0,0,0,1
44718,50,4,975,5980,2,2,4,50,2,4,50,2,4,50,2,4,50,2,4,50,2,4,50,0,1,1,0,1,1
44747,67,52,799,950,2,2,67,52,2,67,52,2,67,52,2,67,52,2,67,52,2,67,52,1,1,0,1,1,0
44776,52,131,950,427,2,2,52,131,2,52,131,2,52,131,2,52,131,2,52,131,2,52,131,1,0,0,1,0,0
44805,52,46,950,1021,2,2,52,46,2,52,46,2,52,46,2,52,46,2,52,46,2,52,46,0,0,0,0,1,0
44834,52,26,985,1525,2,2,26,52,2,26,52,2,26,52,2,26,52,2,26,52,2,26,52,0,0,0,0,1,1
44863,51,89,985,640,2,2,89,51,2,89,51,2,89,51,2,89,51,2,89,51,2,89,51,0,0,0,1,0,0
44892,41,27,1065,1525,2,2,27,41,2,27,41,2,27,41,2,27,41,2,27,41,2,27,41,0,0,0,0,1,1
44921,40,80,1065,729,2,2,80,40,2,80,40,2,80,40,2,80,40,2,80,40,2,80,40,0,0,0,0,1,0
44950,40,36,1065,1197,1,1,36,40,1,36,40,1,36,40,1,36,40,1,36,40,1,36,40,0,0,0,0,0,0
44979,41,66,1090,825,3,3,66,41,3,66,41,3,66,41,3,66,41,3,66,41,3,66,41,0,0,1,1,0,0
45008,79,20,706,1810,2,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,2,79,20,1,0,0,0,0,1
45037,78,20,701,1800,2,2,78,20,2,78,20,2,78,20,2,78,20,2,78,20,2,78,20,0,1,0,0,1,1
45066,20,32,1755,1287,2,2,32,20,2,32,20,2,32,20,2,32,20,2,32,20,2,32,20,1,1,0,1,1,0
45095,152,102,373,540,2,2,152,102,2,152,102,2,152,102,2,152,102,2,152,102,2,152,102,0,1,0,0,1,0
45124,164,18,341,1935,2,2,18,164,2,18,164,2,18,164,2,18,164,2,18,164,2,18,164,1,0,0,0,1,1
45153,172,164,329,341,2,2,164,172,2,164,172,2,164,172,2,164,172,2,164,172,2,164,172,0,0,1,0,0,1
45182,173,10,327,2980,1,1,10,173,1,10,173,1,10,173,1,10,173,1,10,173,1,10,173,0,1,0,0,1,0
45211,73,28,750,1570,2,2,28,73,2,28,73,2,28,73,2,28,73,2,28,73,2,28,73,0,1,0,0,0,1
45240,13,68,2225,795,2,2,13,68,2,13,68,2,13,68,2,13,68,2,13,68,2,13,68,1,0,1,1,0,0
45269,68,43,795,1056,2,2,68,43,2,68,43,2,68,43,2,68,43,2,68,43,2,68,43,0,0,0,0,1,1
45298,50,69,980,795,2,2,50,69,2,50,69,2,50,69,2,50,69,2,50,69,2,50,69,0,1,1,0,0,0
45327,38,46,1145,1040,2,2,46,38,2,46,38,2,46,38,2,46,38,2,46,38,2,46,38,0,0,0,0,1,0
45356,37,85,1145,656,2,2,85,37,2,85,37,2,85,37,2,85,37,2,85,37,2,85,37,0,0,0,1,0,1
45385,37,23,1180,1710,2,2,23,37,2,23,37,2,23,37,2,23,37,2,23,37,2,23,37,0,0,1,0,0,1
45414,87,37,688,1180,2,2,87,37,2,87,37,2,87,37,2,87,37,2,87,37,2,87,37,0,0,1,0,1,1
